,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
655,100.0,0.0,227.824,191.898
656,100.0,0.0,227.824,191.898
657,100.0,0.0,227.824,191.898
658,100.0,0.0,227.824,191.898
659,100.0,0.0,227.824,191.898
660,100.0,0.0,227.824,191.898
661,100.0,0.0,227.824,191.898
662,100.0,0.0,227.824,191.898
663,100.0,0.0,227.824,191.898
664,100.0,0.0,227.824,191.898
665,100.0,0.0,227.824,191.898
666,100.0,0.0,227.824,191.898
667,100.0,0.0,227.824,191.898
668,100.0,0.0,227.824,191.898
669,100.0,0.0,227.824,191.898
670,100.0,0.0,227.824,191.898
671,100.0,0.0,227.824,191.898
672,100.0,0.0,227.824,191.898
673,100.0,0.0,227.824,191.898
674,100.0,0.0,227.824,191.898
675,100.0,0.0,227.824,191.898
676,100.0,0.0,227.824,191.898
677,100.0,0.0,227.824,191.898
678,100.0,0.0,227.824,191.898
679,100.0,0.0,227.824,191.898
680,100.0,0.0,227.824,191.898
681,100.0,0.0,227.824,191.898
682,100.0,0.0,227.824,191.898
683,100.0,0.0,227.824,191.898
684,100.0,0.0,227.824,191.898
685,100.0,0.0,227.824,191.898
686,100.0,0.0,227.824,191.898
687,100.0,0.0,227.824,191.898
688,100.0,0.0,227.824,191.898
689,100.0,0.0,227.824,191.898
690,100.0,0.0,227.824,191.898
691,100.0,0.0,227.824,191.898
692,100.0,0.0,227.824,191.898
693,100.0,0.0,227.824,191.898
694,100.0,0.0,227.824,191.898
695,100.0,0.0,227.824,191.898
696,100.0,0.0,227.824,191.898
697,100.0,0.0,227.824,191.898
698,100.0,0.0,227.824,191.898
699,100.0,0.0,227.824,191.898
700,100.0,0.0,227.824,191.898
